code_nacre,description,emission,emission_factor
CH05,DOC : LOGIC. STANDARDS DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.,0.12,2.5
CH06,DOC : LOGIC. SPECIFIQUES DE TRAITEMENT ET DE CATALOGAGE PARTAGE DE DOC.,0.12,3.0
CH07,DOC : AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE,0.12,1.8
CH08,DOCUMENTATION : AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE,0.12,1.2
CH11,DOCUMENTATION : LOGICIELS STANDARDS DE GESTION D'ARCHIVAGE,0.12,0.4
CH12,DOCUMENTATION : LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVAGE,0.12,0.35
CH21,DOC : MAINTENANCE LOGICIELS STANDARDS DE GESTION DE BIBLIOTHEQUES,0.17,0.9
CH22,DOC. : MAINTENANCE LOGICIELS SPECIFIQUES DE GESTION DE BIBLIOTHEQUES,0.17,1.1
CH23,DOC. : MAINTENANCE LOGIC. STANDARDS D'ACCES AUX CONTENUS ET RESSOURCES DOC.,0.17,1.5
CH24,DOC. : MAINTENANCE LOGIC. SPECIFIQUES D'ACCES AUX CONTENUS ET RESSOURCES DOC.,0.17,2.2
CH25,DOC. : MAINTENANCE LOGIC. STANDARDS DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC,0.17,0.8
CH26,DOC. : MAINTENANCE LOGIC. SPECIFIQ. DE TRAIT. ET DE CATALOGAGE PARTAGE DE DOC,0.17,0.6
CH27,DOC. : MAINTENANCE D'AUTRES LOGICIELS STANDARDS DE GESTION DOCUMENTAIRE,0.17,0.7
CH28,DOC. : MAINTENANCE D'AUTRES LOGICIELS SPECIFIQUES DE GESTION DOCUMENTAIRE,0.17,0.65
CH31,DOCUMENTATION : MAINTENANCE DES LOGICIELS STANDARDS DE GESTION D'ARCHIVES,0.17,0.55
CH32,DOCUMENTATION : MAINTENANCE DES LOGICIELS SPECIFIQUES DE GESTION D'ARCHIVES,0.17,0.45
CI01,DOCUMENTATION : SERVICES DE NUMERISATION D'OUVRAGES ET DE DOCUMENTS,0.14,0.35
CI02,DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS SONORES ET SOURCES AUDIO,0.14,0.25
CI03,DOCUMENTATION : SERVICES DE NUMERISATION DE FONDS AUDIOVISUELS,0.14,0.4
CI04,DOCUMENTATION : AUTRES SERVICES DE GESTION DOCUMENTAIRE,0.14,0.25
CI11,DOCUMENTATION : SERVICES D'ARCHIVAGE,0.14,0.4
CI12,DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE TRADITIONNEL,0.11,0.35
CI13,DOCUMENTATION : SERVICES DE CONSEIL ET D'ASSISTANCE EN ARCHIVAGE ELECTRONIQUE,0.11,0.6
CI14,DOCUMENTATION : AUTRES SERVICES D'ARCHIVAGE,0.14,0.55
DA01,SERVICES DE TAXI OU DE VTC,0.5,0.35
DA02,LOCATION DE VEHICULES ROUTIERS SANS CHAUFFEUR (COURTE DUREE),0.28,0.25
DA11,SERVICES DE TRANSPORT FERROVIAIRE DE PERSONNES,0.73,0.4
DA12,SERVICES DE TRANSPORT AERIEN DE PERSONNES,1.2,0.35
DA13,"SERVICES DE TRANSPORT MARITIME, FLUVIAL ET COTIER DE PERSONNES",0.9,0.6
DA14,SERVICES DE TRANSPORT COLLECTIF ROUTIER ET URBAIN DE PERSONNES,0.5,0.55
DA15,SERV.TRANSP. SPECIALISES DE PERSONNES EN SITUATION HANDICAP,0.5,0.5
DA16,"BILLETS DE TELEPHERIQUES, REMONTEES MECANIQUES OU FUNICULAIRES",0.4,0.7
DA17,PEAGES AUTOROUTE ET DROITS DE STATIONNEMENT,0.13,0.8
DA18,PRESTATIONS DE TRANSPORTS SANITAIRES,0.29,0.4
DA19,PRESTATIONS DE TRANSPORTS FUNERAIRES,0.31,2.8
DB11,HEBERGEMENT EN HÔTEL (HORS EVENEMENTIEL),0.29,0.4
DB12,"HEBERGEMENT EN PENSION, DEMI-PENSION, REFUGE, CAMPING... (HORS EVENEMENTIEL)",0.34,0.35
DC01,SERVICES DE RESERVATIONS PAR AGENCES DE VOYAGE OU CENTRALES DE RESERVATION,0.16,0.35
DC11,SERVICES DE GESTION DES VISAS ET DES FORMALITES ADMINISTRATIVES,0.12,0.4
DC12,VOYAGES D ETUDES,0.16,0.35
EA01,ASSURANCES DU PARC VEHICULES ROUTIER,0.07,0.35
EA02,ASSURANCES DE LA FLOTTE AERIENNE,0.07,0.25
EA03,"ASSURANCES DES VEHICULES MARITIMES, FLUVIAUX ET LACUSTRES",0.07,0.4
EA11,ASSURANCES DE BIENS IMMOBILIERS,0.07,0.4
EA12,ASSURANCES D'EQUIPEMENTS SCIENTIFIQUES,0.07,0.35
EA13,ASSURANCES DES MARCHANDISES TRANSPORTEES,0.07,0.6
EA14,ASSURANCES DES ANIMAUX,0.07,0.55
EA15,ASSURANCE POUR OPERATION DE TRAVAUX,,0.5
EA21,ASSURANCE RESPONSABILITE CIVILE,0.07,0.9
EA22,ASSURANCES RAPATRIEMENT DES AGENTS EN MISSION,0.07,1.1
EA23,ASSURANCES COUVERTURE SANTE / MUTUELLE,0.07,1.5
EA24,AUTRES ASSURANCES,0.07,2.2
EA31,SERVICES DE CONSEIL ET AUDIT EN ASSURANCE,0.07,0.55
EB01,ETUDES DE MARCHES DANS LE DOMAINE DE LA VALORISATION DE LA RECHERCHE,0.09,0.35
EB02,ASSISTANCE A MAITRISE D'OUVRAGE (HORS BATIMENTS ET SI - TELECOM),0.11,0.25
EB03,CONSEIL EN SECURITE (HORS CHANTIER) ET PROTECTION DES BIENS ET DES PERSONNES,0.09,0.4
EB04,ETUDES A CARACTERE GENERAL ET AUTRES MISSIONS DE CONSEIL,0.09,0.25
EB05,ETUDES ET CONSEIL EN STRATEGIE ET ORGANISATION,,2.5
EB06,CONSEIL ET EXPERTISE METIER Y COMPRIS RECHERCHE,,3.0
EB07,SERVICE DE PROSPECT,,1.8
EB11,AUDIT ORGANISATIONNEL CERTIFIANT,0.09,0.4
EB12,AUDIT FINANCIER,0.09,0.35
EB13,CERTIFICATION LEGALE DES COMPTES,0.09,0.6
EB14,"AUDIT ENERGERTIQUE (ENVIRONNEMENTAL, BILAN CARBONE,…)",0.09,0.55
EB15,AUDIT HYGIENE ET SECURITE,0.09,0.5
EB16,AUTRES SERVICES D'AUDIT ET D'ACCREDITATION,0.09,0.7
EB21,ENQUETES,0.15,0.9
EB22,SONDAGES,0.15,1.1
EB23,PRESTATION DE SERVICE DE VOTES (URNE OU ELECTRONIQUE),0.15,1.5
EB31,SERVICES BANCAIRES,0.08,0.55
EB32,INTERMEDIATION FINANCIERE ET ACTIVITES DE CONSEIL,0.08,0.45
EB33,AUTRES SERVICES FINANCIERS ET COMPTABLES,0.08,0.35
EB41,SERVICES D'ADMINISTRATION D'IMMEUBLES ET FRAIS D'AGENCES IMMOBILIERES,0.26,0.9
EB51,SERVICES DE TRADUCTION,0.11,2.5
EB52,SERVICES D'INTERPRETARIAT,0.11,0.6
EB53,SERVICES DE TRANSCRIPTION,0.11,0.3
EB54,SERVICES DE SONORISATION,0.11,0.25
EB55,SERVICES DE SOUS-TITRAGE,0.11,0.35
EB56,SERVICES DE REVISION DE TEXTES,0.11,0.3
EB61,SERVICES DE CONSEILS JURIDIQUES,0.08,0.12
EB62,SERVICES D'ETABLISSEMENT D'ACTES AUTHENTIQUES ET DES AUXILIAIRES DE JUSTICE,0.09,0.08
EB63,SERVICES DE REPRESENTATION JURIDIQUE,0.09,0.1
EC01,FORMATIONS D'ACCOMPAGNEMENT TECHNIQUES ET METIERS SCIENTIFIQUES,0.14,0.35
EC02,FORMATIONS D'ACCOMPAGNEMENT EN LANGUES,0.14,0.25
EC03,FORMATIONS D'ACCOMPAGNEMENT EN BUREAUTIQUE,0.14,0.4
EC04,FORMATIONS D'ACCOMPAGNEMENT EN PREVENTION ET SECURITE,0.14,0.25
EC05,"FORMATIONS D'ACCOMPAGNEMENT EN METHODES DE TRAVAIL (MANAGEMENT, SAVOIR ETRE,…)",0.14,2.5
EC06,FORMATIONS D'ACCOMPAGNEMENT DES FONCTIONS SUPPORT ET SOUTIEN,0.14,3.0
EC07,AUTRES FORMATIONS D'ACCOMPAGNEMENT,0.14,1.8
EC08,TESTS PROFESSIONNELS,0.14,1.2
EC11,"FORMATIONS D'APPRENTISSAGE DE LA CONDUITE (AUTOMOBILE, BATEAU, AVION,…)",0.14,0.4
EC12,PREPARATIONS AUX CONCOURS,0.14,0.35
EC13,PREPARATIONS AUX EXAMENS PROFESSIONNELS,0.14,0.6
EC14,FORMATIONS D'INSERTION PROFESSIONNELLE,0.14,0.55
EC15,AUTRES FORMATIONS PREPARATOIRES,0.14,0.5
EC21,"BILANS DE COMPETENCES, VAE, QUALIFICATION, INSERTION PROFESSIONNELLE",0.07,0.9
EC22,AUDITS D'UNITES OU DE SERVICES EN RH,0.07,1.1
EC23,"ASSISTANCE, CONSEIL ET SERVICES EN RECRUTEMENT",0.07,1.5
EC24,"PSYCHOLOGUES, GRAPHOLOGUES",0.07,2.2
EC25,ORGANISATION DE CONCOURS,0.09,0.8
EC26,SERVICES D'AGENCES INTERIM,0.09,0.6
EC27,AUTRES SERVICES DE GESTION DES RESSOURCES HUMAINES,0.09,0.7
EC31,SERVICES SOCIAUX DE CONSEIL EN ECONOMIE SOCIALE ET FAMILIALE,0.23,0.55
EC32,SERVICES SOCIAUX D'HEBERGEMENT,0.3,0.45
EC33,SERVICES SOCIAUX DE REINSERTION,0.23,0.35
EC34,SERVICES SOCIAUX DE SOIN ET D'AIDE A DOMICILE,0.23,0.25
EC35,SERVICES SOCIAUX : ASSISTANTES SOCIALES INTER-ENTREPRISES,0.23,1.8
EC36,AUTRES SERVICES SOCIAUX,0.23,0.6
EC41,MEDECINE DE PREVENTION : PRESTATAIRES MEDICAUX,0.13,0.9
EC42,MEDECINE DE PREVENTION : FOURNITURES MEDICALES ET DE SOIN,0.13,1.0
ED01,SERVICES DE DEPOT DE BREVET D'INVENTION ET DE LOGICIELS APP,0.1,0.35
ED02,"SERVICES DE PROPRIETE INTELLECTUELLE : BREVET D'INVENTION, GESTION DES ANNUITES",0.1,0.25
ED03,SERV. DANS LE DOM DE LA VALO ET DU TRANSFERT DE ETCHNOLOGIE,,0.4
ED04,AUTR SERV PROPRIETE INTELLECTUELLE (HORS BREVET D'INVENTION),,0.25
ED11,AUTRES SERVICES DE PROPRIETE INTELLECTUELLE (HORS BREVETS D'INVENTION),0.1,0.4
EE01,SERVICES DE FORMATION EN PRESENTIEL,0.14,0.35
EE02,SERVICES DE FORMATION EN LIGNE,0.14,0.25
EE11,CERTIFICATION DIPLOMATION EN PRESENTIEL,0.14,0.4
EE12,CERTIFICATION DIPLOMATION EN LIGNE,0.14,0.35
EE21,ASSISTANCE A LA CONCEPTION DE COURS EN LIGNE,0.14,0.9
EE31,SURVEILLANCE D'EXAMEN EN PRESENTIEL,,0.55
EE32,SURVEILLANCE D'EXAMEN EN LIGNE,,0.45
FA01,FOURNITURES D'EMBALLAGE ET DE TRANSPORT DE MARCHANDISES ORDINAIRES,0.71,0.35
FA02,FOURNITURES D'EMBALLAGE POUR LE TRANSPORT DE MARCHANDISES SPECIFIQUES,0.71,0.25
FA03,EQUIPEMENTS POUR LE DEPLACEMENT DE MARCHANDISES ET ACCESSOIRES,0.49,0.4
FA11,EQUIPEMENTS DE PESEE DU COURRIER ET D'HORODATAGE,0.32,0.4
FB01,COURRIER : COURRIERS ET AFFRANCHISSEMENT ORDINAIRE,0.18,0.35
FB02,SERVICES DE COURSIERS,0.27,0.25
FB03,TRANSPORT  EXPRESS  DE COLIS,,0.4
FB04,COURRIER/ SERVICES DE RETOUR COURRIER (ENVELOPPES T),,0.25
FB05,SERVICES DE COURRIER DEMATERIALISE,,2.5
FB06,TRANSPORT DE PRODUITS BIOLOGIQUES NON DANGEREUX,,3.0
FB11,SERVICES DE DISTRIBUTION ET ROUTAGE,0.18,0.4
FB12,"SERVICES DE BOITES POSTALES, DE POSTE RESTANTE OU DE REEXPEDITION",0.18,0.35
FB13,SERVICES DE MISE SOUS PLIS,,0.6
FC01,SERVICES DE TRANSPORT DE MARCHANDISES SPECIALES,0.87,0.35
FC02,TRANSPORTS AERIENS DE MARCHANDISES,1.2,0.25
FC03,TRANSPORTS MARITIMES ET FLUVIAUX EN CONTENEURS,0.9,0.4
FC04,TRANSPORTS FERROVIAIRES DE MARCHANDISES,0.73,0.25
FC05,NE PAS UTILISER  -UTILISER FC.01,0.18,2.5
FC06,PAS UTILISER FB.03,0.18,3.0
FC11,TRANSPORTS SPECIALISES D'ANIMAUX DE LABORATOIRE,0.69,0.4
FC12,PAS UTILISR FC.13,0.69,0.35
FC13,TRANSPORTS DE MARCHANDISES DANGEREUSES (classement ONU),0.69,0.6
FC14,NE PAS UTILISER - UTILISR FC.13,0.69,0.55
FC15,AUTRES SERVICES DE TRANSPORT/EXPEDITION SPECIALISES,0.69,0.5
FD01,SERVICES DE DEMENAGEMENT COURANTS,0.41,0.35
FD02,SERVICES DE DEMONTAGE ET DE DEMENAGEMENT D'INSTRUMENTS,0.41,0.25
FD03,OPERATIONS DE MANUTENTION MECANIQUE DE MATERIEL,0.41,0.4
FD04,SERVICES DE LOCATION DE VEHICULES POUR TRANSPORT DE MARCHANDISES,0.52,0.25
FD11,SERVICES DE GARDE-MEUBLES,0.41,0.4
FD12,SERVICES D'ENTREPOT GARDIENNAGE DE MATERIEL,0.41,0.35
GA01,ACETYLENE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,0.35
GA02,AIR SYNTHETIQUE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,0.25
GA03,ARGON DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,0.4
GA04,AZOTE GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,0.25
GA05,DIOXYDE DE CARBONE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,2.5
GA06,HELIUM GAZEUX DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,3.0
GA07,HYDROGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,1.8
GA08,OXYGENE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,1.2
GA09,AUTRES GAZ SIMPLES OU EN MELANGE DE QUALITE INDUSTRIELLE EN BOUTEILLE,2.1,0.8
GA11,ARGON DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE,2.1,0.4
GA12,AZOTE GAZEUX DE TRES HAUTE PURETE (SUPERIEURE A 5.0) EN BOUTEILLE,2.1,0.35
GA13,DIOXYDE DE CARBONE DE HAUTE PURETE (PURETE SUPERIEURE A D.0) EN BOUTEILLE,2.1,0.6
GA14,"GAZ RARES DE TRES HAUTE PURETE (NEON, XENON, KRYPTON,...) EN BOUTEILLE",2.1,0.55
GA15,HELIUM GAZEUX DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE,2.1,0.5
GA16,GAZ FLUORES OU CHLORES DE TRES HAUTE PURETE (SUPERIEURE A D.0) EN BOUTEILLE,2.1,0.7
GA17,HYDROGENE DE HAUTE PURETE (PURETE SUPERIEURE A 5.0) EN BOUTEILLE,2.1,0.8
GA18,OXYGENE DE HAUTE PURETE (PURETE SUPERIEURE A 4.5) EN BOUTEILLE,2.1,0.4
GA19,AUTRES GAZ NON MELANGES HAUTE PURETE EN BOUTEILLE,2.1,2.8
GA21,MELANGES DE GAZ SCIENTIFIQUES DE HAUTE PURETE EN BOUTEILLE,2.1,0.9
GA31,GAZ MEDICAUX,2.1,0.55
GA41,"PRESTATIONS CONNEXES A L'ACHAT DE GAZ EN BOUTEILLES (LOCATION DE BOUTEILLES,…)",0.18,0.9
GA51,AZOTE LIQUIDE EN VRAC ET DEWAR,2.1,2.5
GA52,HELIUM LIQUIDE EN VRAC ET DEWAR,2.1,0.6
GA53,ARGON EN VRAC ET DEWAR,2.1,0.3
GA54,OXYGENE EN VRAC ET DEWAR,2.1,0.25
GA55,GLACE CARBONIQUE (HORS TRANSPORT DE PRODUITS BIOLOGIQUES),2.1,0.35
GA61,PRESTATIONS CONNEXES A L'ACHAT DE GAZ LIQUIDES ET SOLIDES EN VRAC,0.18,0.12
GB01,"GENERATEURS DE GAZ (AIR, AZOTE, HYDROGENE, OXYGENE,…)",0.4,0.35
GB02,"MATERIEL DE TRAITEMENT ET PURIFICATION DES GAZ (COMPRESSEURS, SECHEURS,…)",0.4,0.25
GB03,LIQUEFACTEURS ET ACCESSOIRES,0.4,0.4
GB04,"MATERIEL DE PREPARATION DES GAZ (REALISATION DE MELANGES,…)",0.4,0.25
GB11,MATERIEL DE STOCKAGE DES GAZ ET PRODUITS CRYOGENIQUES,0.56,0.4
GB12,MATERIEL DE DISTRIBUTION DES GAZ ET PRODUITS CRYOGENIQUES,0.54,0.35
GB13,CRYOGENERATEURS ET CRYOSTATS (HORS MICROSCOPIE ET RMN),0.57,0.6
GB21,INSTRUMENTS POUR L'ANALYSE DES GAZ (HORS RGA),0.28,0.9
GC01,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE GENERATION ET TRAITEMENT DES GAZ,0.24,0.35
GC02,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE STOCKAGE ET DISTRIBUTION DES GAZ,0.24,0.25
GC03,REPARATION ET MAINTENANCE DES CRYOGENERATEURS ET CRYOSTATS,0.24,0.4
HA01,EPI : GANTS A USAGE UNIQUE DE  LABORATOIRE,0.52,0.35
HA02,EPI:AUTRES EPI JETABLES DE LABORATOIRE (CF. EXEMPLES),0.52,0.25
HA03,EPI : BLOUSES ET AUTRES VETEMENTS DE LABORATOIRE REUTILISABLES,1.1,0.4
HA04,NE PLUS UTILISER -  UTILISER AF.12,1.1,0.25
HA05,"EPI : ACCESSOIRES DE LABORATOIRE (LUNETTES, CASQUES, ETC…)",0.52,2.5
HA06,EQUIP.VET DE PROTECTION & SECURITE INDIV SPEC DE LABORATOIRE,1.1,3.0
HA07,EQUIPEMENTS DE RADIOPROTECTION INDIVIDUELLE DE LABORATOIRE,1.1,1.8
HA11,CONSO PR RECEPTION DECHETS(ABSORBANTS RECIPIENTS…) DE LABO,0.7,0.4
HA12,"PETIT MAT SECU COLLECTIVE. (SIGNALETIQ, DETECTEURS…) DE LABO",0.44,0.35
HA21,ARMOIRES DE SECURITE ET RANGEMENTS DE LABORATOIRE,0.75,0.9
HA22,ENCEINTES CONFINEMT SUBST.DANGEREUSES CONS.ASSOCIES DE LABO,0.75,1.1
HA23,POSTES DE SEC MICROBIO (PSM) - HOTTES ET CONSO ASSOCIE  LABO,0.35,1.5
HA24,SECURITE AU TRAVAIL:AUT EQUIP.SPEC CONSO ASSOCIES DE LABO,0.35,2.2
HB01,SECURITE AU TRAVAIL:R/M & VERIF HOTTES ET PSM DE LABORATOIRE,0.24,0.35
HB02,SECURITE AU TRAVAIL : MAINT DES AUTRES EQUIP. DE PROTEC LABO,0.24,0.25
HC01,SERVICES DE LOCATION ET ENTRETIEN DES BLOUSES DE LABORATOIRE,0.11,0.35
HC02,SERVICES DE LOCATION ET ENTRETIEN AUTRES VETEMENTS DE PROTECTION INDIVIDUELLE DE LABORATOIRE,0.11,0.25
HC11,SECURITE AU TRAVAIL : CONTROLE REGLEMENTAIRE DES EQUIPEMENTS DE LABORATOIRE,,0.4
IA01,MICRO-ORDINATEURS ET STATIONS DE TRAVAIL FIXES,0.43,0.35
IA11,ORDINATEURS PORTABLES,0.43,0.4
IA12,TABLETTES ET AUTRES APPAREILS MOBILES,0.43,0.35
IA13,BORNES NUMERIQUES INTERACTIVES,,0.6
IA21,IMPRIMANTES,0.43,0.9
IA22,CONSOMMABLES POUR IMPRIMANTES,0.74,1.1
IA23,PETITES FOURNITURES POUR LE STOCKAGE EXTERNE DES DONNEES,0.33,1.5
IA24,"AUTRE MATERIEL INFORMATIQUE PERIPHERIQUE (ECRANS, CLAVIERS, SOURIS,…)",0.43,2.2
IA25,COMPOSANTS INTERNES POUR ORDINATEURS,0.32,0.8
IA31,SERVEURS D'APPLICATIONS (APPLICATIFS DIVERS Y COMPRIS BASE DE DONNEES),0.43,0.55
IA32,SYSTEMES POUR LE STOCKAGE ET LA SAUVEGARDE DE DONNEES,0.33,0.45
IA33,SERVEURS POUR LE CALCUL OU L'EXPLOITATION DE DONNEES SCIENTIFIQUES,0.43,0.35
IA34,"SERVEURS HAUTES PERFORMANCES, SUPER CALCULATEURS",0.43,0.25
IA41,PETITS EQUIPEMENTS DE RESEAUX INFORMATIQUES,0.26,0.9
IA42,EQUIPEMENTS DE RESEAUX INFORMATIQUES,0.33,1.0
IA43,EQUIPEMENTS DE TRANSMISSION DE DONNEES SANS FIL (dont bornes Wi-Fi),0.33,0.7
IA44,RESEAUX : EQUIPEMENTS DE SUPERVISION ET METROLOGIE,0.26,0.25
IA45,ANALYSEURS RESEAUX,0.26,0.25
IA46,"CONCEPTION, REALISATION DE RESEAUX INFORMATIQUES",0.2,0.2
IA47,EQUIPEMENTS DE CYBERSECURITE DE RESEAUX INFORMATIQUES,,0.18
IA51,INFORMATIQUE : SYSTEMES DE SORTIE POUR LA REALITE VIRTUELLE,0.63,2.5
IA52,INFORMATIQUE : CALCULATEURS EMBARQUES,0.43,0.6
IA53,INFORMATIQUE : ROBOTS PROTOTYPES,0.43,0.3
IA54,INFORMATIQUE : AUTRES SYSTEMES DE PILOTAGE,0.43,0.25
IA55,INFORMATIQUE : CAPTEURS POUR LA REALITE VIRTUELLE,0.63,0.35
IA56,INFORMATIQUE : CAPTEURS POUR LA ROBOTIQUE,0.43,0.3
IA57,INFORMATIQUE : ACTIONNEURS,0.43,0.25
IB01,DROITS D'UTILISATION DE LOGICIELS STANDARDS POUR SYSTEME ET RESEAUX,0.12,0.35
IB02,DROITS D'UTILISATION DE LOGICIELS SPECIFIQUES POUR SYSTEME ET RESEAUX,0.12,0.25
IB03,SUP & MAINT DES LOGICIELS POUR SYST ET RESEAUX (ON PREMISE),0.12,0.4
IB04,SOLUTIONS LOGICIELLES POUR SYSTEMES ET RESEAUX EN MODE SAAS,,0.25
IB05,DROITS D'UTILISATION DE LOGICIELS POUR LES SYSTEMES DE VIRTUALISATION (ON PREMISE),,2.5
IB06,SUPPORT ET MAINTENANCE DES LOGICIELS POUR LES SYSTEMES DE VIRTUALISATION,,3.0
IB07,SOLUTIONS LOGICIELLES POUR SYSTEMES DE VIRTUALISATION EN MODE SAAS,,1.8
IB08,DROITS D'UTILISATION DE LOGICIELS   DE CYBER SECURITE (ON PREMISE ET MODE SAAS),,1.2
IB09,SUPPORT ET MAINTENANCE DES LOGICIELS DE CYBERSECURITE,,0.8
IB11,DROITS D'UTILISATION DE LOGICIELS STANDARDS DE BUREAUTIQUE ( ON PREMISE),0.12,0.4
IB12,NE PLUS UTILISER,0.12,0.35
IB13,SUPPORT ET MAINTENANCE DES LOGICIELS DE BUREAUTIQUE,0.12,0.6
IB14,SOLUTIONS LOGICIELLES BUREAUTIQUES EN MODE SAAS,,0.55
IB21,DROITS D'UTILISATION DE LOGICIELS STANDARDS DE DEVELOPPEMENT,0.12,0.9
IB22,NE PLUS UTILISER,0.12,1.1
IB23,SUPPORT ET MAINTENANCE DES LOGICIELS DE DEVELOPPEMENT,0.12,1.5
IB24,LOGICIELS DE DEVELOPPEMENT EN MODE SAAS,,2.2
IB31,DROITS D'UTIL. DES AUTRES LOGICIELS SCIENTIFIQUES (ON PREMISE),0.12,0.55
IB32,DROITS D'UTILISATION DES AUTRES LOGICIELS (ON PREMISE),0.12,0.45
IB33,SUPPORT ET MAINTENANCE DES AUTRES LOGICIELS SCIENTIFIQUES,0.12,0.35
IB34,SUPPORT ET MAINTENANCE DES AUTRES LOGICIELS NON SCIENTIFIQUE,0.12,0.25
IB35,SOLUTIONS LOGICIELLES SCIENTFIQUES EN MODE SAAS,,1.8
IB36,SOLUTIONS LOGICIELLES NON SCIENTFIQUES EN MODE SAAS,,0.6
IB41,DROITS D'UTILISATION DES LOGICIELS RH (LICENCES),,0.9
IB42,SUPPORT ET MAINTENANCE DES LOGICIELS RH,,1.0
IB43,SOLUTION LOGICIELLE DE GESTION RH EN MODE SAAS,,0.7
IB51,DROITS D'UTILISATION DES LOGICIELS DE GESTION FINANCIERE ET COMPTABLE  (LICENCES),,2.5
IB52,SUPPORT ET MAINTENANCE DES LOGICIELS DE GESTION FINANCIERE ET COMPTABLE,,0.6
IB53,SOLUTION LOGICIELLE DE GESTION  FINANCIERE ET COMPTABLE EN MODE SAAS,,0.3
IB61,DROITS D'UTIL DES LOGICIELS DE SCOLARITE (ON PREMISE),,0.12
IB62,SUPPORT ET MAINTENANCE  DES LOGICIELS DE SCOLARITE,,0.08
IB63,SOLUTIONS LOGICIELLES DE SCOLARITE  EN MODE SAAS,,0.1
IB64,DROITS D'UTIL. DES AUTRES LOGICIELS DE GESTION (ON PREMISE),,0.05
IB65,SUPPORT ET MAINTENANCE DES AUTRES LOGICIELS DE GESTION,,0.04
IB66,CERTIFICAT DE SIGNATURE ELECTRONIQUE,,0.03
IB67,AUTRES SOLUTIONS LOGICIELLES DE GESTION EN MODE SAAS,,0.25
IB71,DROITS D'UTIL. DES LOGICIELS POUR L'EDUCATION ET LA FORMATION (ON PREMISE),,0.1
IB72,SUPPORT ET MAINTENANCE DES LOGICIELS POUR L'EDUCATION ET LA FORMATION,,0.12
IB73,SOLUTION LOGICIELLE POUR L'EDUCATION ET LA FORMATION EN MODE SAAS,,0.09
IC01,"MAINTENANCE ET REPARATION DES MICRO-ORDINATEURS, STATIONS DE TRAVAIL FIXES",0.21,0.35
IC02,MAINTENANCE ET REPARATION DES APPAREILS MOBILES,0.21,0.25
IC11,MAINTENANCE ET REPARATION DES ACCESSOIRES ET  PERIPHERIQUES INFORMATIQUES,0.21,0.4
IC21,MAINTENANCE ET REPARATION DES SERVEURS D'APPLICATIONS,0.21,0.9
IC22,MAINTENANCE ET REPARATION DES SYST. DE STOCKAGE ET DE SAUVEGARDE DE DONNEES,0.21,1.1
IC23,MAINTENANCE ET REPARATION SERVEURS DE CALCUL OU D'EXPLOIT. DE DONNEES SCIENTIF.,0.21,1.5
IC24,"MAINTENANCE ET REPARATION DES SERVEURS HAUTE PERFORMANCE, SUPER CALCULATEURS",0.21,2.2
IC31,MAINTENANCE ET REPARATION DES EQUIPEMENTS DE RESEAUX INFORMATIQUES,0.21,0.55
IC32,MAINTENANCE ET REPARATION DES EQUIPEMENTS DE CYBERSECURITE DE RESEAUX INFORMATIQUES,,0.45
IC41,MAINTENANCE ET REPARATION DES SYSTEMES INFORMATIQUES SPECIALISES,0.21,0.9
ID01,NE PLUS UTILISER - UTILISER ID.41,0.13,0.35
ID02,NE PLUS UTILISER - UTILISER ID.33,,0.25
ID03,NE PLUS UTILISER - UTILISER ID.72,,0.4
ID04,NE PLUS UTILISER  - UTILISER ID.32,,0.25
ID11,INFORMATIQUE : SCHEMA DIRECTEUR ET AUDIT,0.11,0.4
ID12,INFORMATIQUE : ASSISTANCE A MAITRISE D'OUVRAGE,0.13,0.35
ID13,INFORMATIQUE : ASSISTANCE A MAITRISE D'ŒUVRE,0.13,0.6
ID14,NE PLUS UTILISER,0.15,0.55
ID15,NE PLUS UTILISER - UTILER ID.43/44 ou 45,0.13,0.5
ID16,NE PLUS UTILISER - UTILISER ID.61,0.15,0.7
ID17,NE PLUS UTILISER - UTILISER ID.62,0.15,0.8
ID18,INFORMATIQUE : AUTRES MISSIONS D'ETUDES ET DE CONSEILS,0.11,0.4
ID19,NE PLUS UTILISER - UTILISER ID.76,0.13,2.8
